model,map_type,normalised,use_other,content_normalised,reference,checkpoint,depth_bin,mean,se_across,n_datasets,mean_pooled,se_pooled,n_obs
JointSheafParams,identity,False,False,False,topological,epoch-15,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,epoch-15,last,0.45203529972913203,0.042369789593055714,10,0.45203529972913203,0.013071965603272229,100
JointSheafParams,identity,False,False,False,topological,epoch-15,middle,0.44586801654621366,0.05161314779069939,8,0.46678027622551405,0.011679280272695996,190
JointSheafParams,identity,False,False,False,topological,epoch-200,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,epoch-200,last,0.4651734878965944,0.02711186894316131,10,0.46517348789659446,0.008920613139512522,100
JointSheafParams,identity,False,False,False,topological,epoch-200,middle,0.46758564456856555,0.03717570829649623,8,0.4844724840850628,0.008901102025897015,190
JointSheafParams,identity,False,False,False,topological,epoch-5,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,epoch-5,last,0.4513925989251938,0.047840784039095245,10,0.4513925989251938,0.01460282312951841,100
JointSheafParams,identity,False,False,False,topological,epoch-5,middle,0.44807063044255885,0.05188268023418972,8,0.47030758112367915,0.011583447439543511,190
JointSheafParams,identity,False,False,False,topological,epoch-50,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,epoch-50,last,0.4439425892956363,0.03339884184699088,10,0.4439425892956363,0.010730007524390116,100
JointSheafParams,identity,False,False,False,topological,epoch-50,middle,0.45268949703671857,0.04763257838865503,8,0.4696282046393761,0.01111107161572585,190
JointSheafParams,identity,False,False,False,topological,last,first,0.5809475318782892,0.046483023471297784,10,0.5809475318782892,0.014015158906870738,100
JointSheafParams,identity,False,False,False,topological,last,last,0.47268423500451834,0.027752496263229884,10,0.4726842350045184,0.009104698529876814,100
JointSheafParams,identity,False,False,False,topological,last,middle,0.47520481113931773,0.03140850899714466,8,0.4920597214146028,0.007185060002990015,190
JointSheafParams,identity,False,False,False,zero,epoch-0,first,0.0,0.0,10,0.0,0.0,100
JointSheafParams,identity,False,False,False,zero,epoch-0,last,3.6320100757623015,1.8106189129412673,10,3.6320100757623015,0.5470043204269075,100
JointSheafParams,identity,False,False,False,zero,epoch-0,middle,2.7601139852114978,1.583500103609479,8,2.749277047963352,0.3392628123228576,190
JointSheafParams,identity,False,False,False,zero,epoch-1,first,0.0,0.0,10,0.0,0.0,100
JointSheafParams,identity,False,False,False,zero,epoch-1,last,3.699691549325496,1.8084170163842326,10,3.6996915493254954,0.5468123216375061,100
JointSheafParams,identity,False,False,False,zero,epoch-1,middle,2.736629613680824,1.5527080057833027,8,2.7311811795854757,0.3327425976420997,190
JointSheafParams,identity,False,False,False,zero,epoch-15,first,0.0,0.0,10,0.0,0.0,100
