model,map_type,normalised,use_other,content_normalised,dataset,stalk_dim,layers,checkpoint,layer,depth_bin,fold,reference,wasserstein,direction
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,0,zero,0.10790068101589892,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,0,topological,0.2780091620879954,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,0,zero,0.12266778028494585,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,1,topological,0.323564240789612,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,1,zero,0.09677324960258413,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,1,topological,0.3206131444572976,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,1,zero,0.0883972107957572,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,1,topological,0.336199440944134,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,1,zero,0.10055967616723516,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,1,topological,0.291054166966964,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,1,zero,0.13191759439334402,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,1,topological,0.39692164269720015,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,1,zero,0.09104445710936701,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,2,topological,0.35742472143405957,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,2,zero,0.0785985156153789,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,2,topological,0.33959895196331175,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,2,zero,0.10195550841106824,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,2,topological,0.36015954442334097,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,2,zero,0.06204479570685908,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,2,topological,0.3068619165619687,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,2,zero,0.11069523913376222,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,2,topological,0.4022846338067258,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,2,zero,0.10532871559442825,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,3,topological,0.34217233684164544,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,3,zero,0.07911915178527598,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,3,topological,0.31739953141165766,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,3,zero,0.08365581086842355,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,3,topological,0.3357661680293786,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,3,zero,0.11119372584207285,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,3,topological,0.2576087970633885,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,3,middle,3,zero,0.13574367683278282,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,3,topological,0.2845168618952298,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,4,last,3,zero,0.12484169273801164,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,4,topological,0.34211222362595,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,0,first,4,zero,0.08703147658887551,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,4,topological,0.3503941663489366,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,1,middle,4,zero,0.07902695259684363,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,4,topological,0.35162096367837997,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-5,2,middle,4,zero,0.07294533587760407,
